10000 100000
2 7019 7065
0 4303 6979
0 2027 1792
1 7166 0
2 3478 7462
0 5244 4777
0 1272 5066
1 1640 0
0 1620 9935
0 1515 7270
0 1855 9540
1 7859 0
2 6470 5127
0 3018 1544
2 9309 2200
0 1483 2527
0 7543 24
0 5564 3873
1 2070 0
1 4567 0
1 4518 0
1 5203 0
1 4197 0
0 4105 2454
0 2917 8528
0 1280 8095
1 6312 0
2 8112 8932
1 1836 0
1 6504 0
1 1815 0
0 7127 6647
2 265 6701
1 3936 0
0 1749 4151
1 203 0
0 1403 8625
2 9774 5201
2 1121 434
0 7336 2340
0 7729 3383
0 5134 5575
2 8508 2076
1 1971 0
2 4309 544
2 3240 2060
2 2449 5546
0 9297 1077
1 8340 0
2 5289 8786
0 8923 572
1 1687 0
0 432 6650
1 8744 0
1 1626 0
1 5282 0
1 9954 0
2 703 7631
1 2688 0
1 8059 0
1 2307 0
2 958 1752
0 34 2212
2 7148 4687
0 1776 6031
0 2648 2190
2 2416 4958
0 527 7947
1 4585 0
1 7977 0
1 2349 0
1 8832 0
1 6477 0
2 3572 460
1 7984 0
2 4464 4068
2 351 9853
1 4378 0
1 719 0
1 8082 0
0 4809 708
1 9070 0
1 8304 0
0 3365 4220
2 4645 4697
2 615 7017
0 6435 7493
1 7248 0
0 2823 1738
1 7766 0
0 1672 5022
2 6530 6389
0 682 5327
2 9062 3117
2 765 3354
2 6769 5230
1 2256 0
1 9501 0
2 7099 1773
2 7374 5788
0 5713 9594
1 4695 0
0 1224 4161
2 1730 3785
0 3776 9457
1 5304 0
0 7694 6927
1 5724 0
2 8459 4823
2 2118 333
1 4509 0
2 1870 8674
2 3968 7834
0 602 1705
0 2960 7910
1 9546 0
0 7118 3249
2 4326 6386
0 9471 1984
0 6718 8116
1 985 0
1 5030 0
0 1418 1782
1 2318 0
2 9035 8460
2 764 2756
2 7985 6131
1 7328 0
0 3441 6093
2 5598 7943
2 3706 6554
0 8169 979
1 2052 0
0 2545 9179
1 2259 0
0 6842 3283
2 3896 8427
0 1342 3580
1 7997 0
1 1112 0
2 5108 5683
0 5121 7002
2 2304 9472
1 3468 0
2 8472 2408
2 7465 2537
2 7786 6250
0 1017 1949
2 6670 8758
0 4900 8023
2 2333 4133
0 4851 2244
2 599 3893
1 2886 0
2 5590 5809
2 850 3402
1 7709 0
2 3759 2149
2 7835 1716
1 8583 0
2 5011 3486
1 657 0
1 1991 0
0 227 6740
0 5016 6340
0 1580 6517
0 9243 944
0 1600 3501
2 6862 3394
2 38 7536
1 2350 0
1 1001 0
2 2018 7733
0 7348 3394
2 2181 6097
2 8079 4296
1 1008 0
1 2501 0
2 9333 2014
2 2766 2779
0 2889 3878
0 621 3386
0 536 7604
1 6856 0
0 1689 5164
1 148 0
2 9932 5781
0 3809 4840
2 2281 6726
2 7820 6896
1 8498 0
0 200 1967
0 6220 7973
2 3760 7868
1 8648 0
0 1096 8954
0 3269 1296
2 4115 2144
2 4182 2148
2 3221 4778
2 7251 7808
2 8094 8448
2 7760 2859
2 424 3270
1 8087 0
0 5458 2132
1 6471 0
0 3070 6227
1 8417 0
0 7980 8122
1 9421 0
1 4221 0
0 3963 4542
1 5660 0
2 6318 6946
2 3984 3481
2 722 4216
0 5742 5298
0 3586 4286
1 1659 0
0 9261 551
2 7992 9011
2 2844 8791
2 1875 2432
0 8495 7646
1 5072 0
1 8324 0
1 6643 0
1 5326 0
2 3435 8390
0 7833 7306
0 5880 7345
2 9235 4355
1 3097 0
